,Model,Dataset,AUROC,Accuracy,Train time,Inference time,Trainable params,Shuffling
13,Glacier,FBIRN Schaefer 200 ROI,0.8,0.5161290322580645,158.27792763710022,0.004541697040680916,122713819,None
14,Glacier,FBIRN Schaefer 200 ROI,0.8895833333333333,0.532258064516129,152.74450516700745,0.004527511135224373,122713819,None
15,Glacier,FBIRN Schaefer 200 ROI,0.8458333333333333,0.7580645161290323,238.4024109840393,0.004533879218562957,122713819,None
16,Glacier,FBIRN Schaefer 200 ROI,0.8125,0.7419354838709677,195.66911339759827,0.004507545501955094,122713819,None
17,Glacier,FBIRN Schaefer 200 ROI,0.8104166666666667,0.5161290322580645,174.74234771728516,0.004511056407805412,122713819,None
18,Glacier,FBIRN Schaefer 200 ROI,0.8572916666666666,0.7258064516129032,293.3395445346832,0.004534417583096412,122713819,None
19,Glacier,FBIRN Schaefer 200 ROI,0.7229166666666668,0.6129032258064516,389.5576088428498,0.004538474544402092,122713819,None
20,Glacier,FBIRN Schaefer 200 ROI,0.828125,0.7258064516129032,252.3315236568451,0.004504061514331448,122713819,None
21,Glacier,FBIRN Schaefer 200 ROI,0.840625,0.7741935483870968,234.92342829704285,0.0045242501843360166,122713819,None
22,Glacier,FBIRN Schaefer 200 ROI,0.8260416666666668,0.4838709677419355,554.558803319931,0.004536105740454889,122713819,None
23,Glacier,FBIRN Schaefer 200 ROI,0.7348958333333334,0.5161290322580645,361.8035426139831,0.004518028228513656,122713819,None
24,Glacier,FBIRN Schaefer 200 ROI,0.8260416666666667,0.7096774193548387,286.34929037094116,0.004522154408116494,122713819,None
25,Glacier,FBIRN Schaefer 200 ROI,0.8083333333333333,0.7096774193548387,200.53243160247803,0.004498216413682507,122713819,None
26,Glacier,FBIRN Schaefer 200 ROI,0.8104166666666666,0.7419354838709677,307.8361098766327,0.004533463908780006,122713819,None
27,Glacier,FBIRN Schaefer 200 ROI,0.8322916666666667,0.5161290322580645,148.4435837268829,0.004548265087989068,122713819,None
28,Glacier,FBIRN Schaefer 200 ROI,0.796875,0.7419354838709677,215.477885723114,0.004552268212841403,122713819,None
29,Glacier,FBIRN Schaefer 200 ROI,0.85,0.5161290322580645,151.5395166873932,0.004555233063236359,122713819,None
30,Glacier,FBIRN Schaefer 200 ROI,0.8166666666666667,0.7741935483870968,206.55306434631348,0.004525707614037299,122713819,None
31,Glacier,FBIRN Schaefer 200 ROI,0.7822916666666667,0.5483870967741935,242.81928730010983,0.00454879960706157,122713819,None
32,Glacier,FBIRN Schaefer 200 ROI,0.8052083333333333,0.7258064516129032,236.34459972381592,0.004563719995560185,122713819,None
33,Glacier,FBIRN Schaefer 200 ROI,0.8208333333333333,0.7419354838709677,179.89813685417175,0.004576598444292622,122713819,None
34,Glacier,FBIRN Schaefer 200 ROI,0.8166666666666668,0.7419354838709677,223.71573328971863,0.004509564368955551,122713819,None
35,Glacier,FBIRN Schaefer 200 ROI,0.8156249999999999,0.7096774193548387,192.32969760894775,0.0045405126387073145,122713819,None
36,Glacier,FBIRN Schaefer 200 ROI,0.7802083333333333,0.4838709677419355,156.8868432044983,0.004512602283108619,122713819,None
37,Glacier,FBIRN Schaefer 200 ROI,0.8270833333333334,0.7741935483870968,295.3902020454407,0.004502154165698636,122713819,None
38,Glacier,FBIRN Schaefer 200 ROI,0.7197916666666666,0.6935483870967742,271.22856760025024,0.0045427814606697325,122713819,None
39,Glacier,FBIRN Schaefer 200 ROI,0.8104166666666667,0.5161290322580645,164.47867465019226,0.004570964843996109,122713819,None
40,Glacier,FBIRN Schaefer 200 ROI,0.8084677419354839,0.7301587301587301,288.37438797950745,0.00456517083304269,122713819,None
41,Glacier,FBIRN Schaefer 200 ROI,0.814516129032258,0.5396825396825397,28653.037899017338,0.8492388308994354,122713819,None
42,Glacier,FBIRN Schaefer 200 ROI,0.84375,0.746031746031746,31988.72725558281,0.8534400690169561,122713819,None
43,Glacier,FBIRN Schaefer 200 ROI,0.7691532258064515,0.7142857142857143,42035.4231865406,0.849416384621272,122713819,None
44,Glacier,FBIRN Schaefer 200 ROI,0.7993951612903226,0.7301587301587301,34330.58933401108,0.978615779725332,122713819,None
45,Glacier,FBIRN Schaefer 200 ROI,0.8326612903225806,0.7142857142857143,48138.84781718254,0.9987155407194108,122713819,None
46,Glacier,FBIRN Schaefer 200 ROI,0.6834677419354839,0.6984126984126984,45242.319620132446,0.9907465965028792,122713819,None
47,Glacier,FBIRN Schaefer 200 ROI,0.625,0.6031746031746031,59164.19856286049,0.9704283040667336,122713819,None
48,Glacier,FBIRN Schaefer 200 ROI,0.8145161290322581,0.6825396825396826,40225.09576702118,0.97003444035848,122713819,None
49,Glacier,FBIRN Schaefer 200 ROI,0.8407258064516129,0.7619047619047619,44632.19192361832,0.9915574770125132,122713819,None
0,Glacier,BSNIP ICA,0.8002985074626865,0.7350427350427351,48.17440128326416,0.0007365198216886602,869891,None
1,Glacier,BSNIP ICA,0.7146268656716417,0.6752136752136753,54.62967777252197,0.0007270951556344318,869891,None
2,Glacier,BSNIP ICA,0.7647761194029851,0.717948717948718,83.57644271850586,0.0007329068632207365,869891,None
3,Glacier,BSNIP ICA,0.8008955223880596,0.7350427350427351,60.27700114250183,0.0007272744790101663,869891,None
4,Glacier,BSNIP ICA,0.8032835820895523,0.8034188034188035,60.90087556838989,0.0007350689325577173,869891,None
5,Glacier,BSNIP ICA,0.7767164179104478,0.7435897435897436,51.33819580078125,0.0007271155332907652,869891,None
6,Glacier,BSNIP ICA,0.7964179104477612,0.7350427350427351,62.60229706764221,0.0007225876180534689,869891,None
7,Glacier,BSNIP ICA,0.7832835820895522,0.7435897435897436,77.48568844795227,0.0007275373507768679,869891,None
8,Glacier,BSNIP ICA,0.8549253731343284,0.8376068376068376,9962.63342666626,0.11649239368927784,869891,None
9,Glacier,BSNIP ICA,0.7429850746268657,0.7094017094017094,9579.029566764832,0.1155233383178711,869891,None
10,Glacier,BSNIP ICA,0.829675153643547,0.635593220338983,8055.612551689148,0.10985135425955564,869891,None
11,Glacier,BSNIP ICA,0.7980684811237928,0.7627118644067796,11108.772621631622,0.11331664101552157,869891,None
12,Glacier,BSNIP ICA,0.8364062042727538,0.7796610169491526,12080.965239048004,0.11431931641142248,869891,None
13,Glacier,BSNIP ICA,0.8191395961369622,0.635593220338983,8399.67194390297,0.11936267553749733,869891,None
14,Glacier,BSNIP ICA,0.8121158911325725,0.6440677966101694,7640.75009727478,0.11095483020200568,869891,None
